Type of crime,2002,2003,2004,2010,2011,2012,2013
Violent crime,51,48,50.3,51,49,44.2,45.6
Sexual assault,55,56,29.3,49,27,28.2,34.8
Robbery,68,64,60.6,58,66,55.9,68
Aggravated assault,66,56,69.8,60,67,62.4,64.3
Simple assault,44,43,43.9,48,43,39.7,38.5
Domestic violence,59,57,56.6,67,59,54.9,56.9
Intimate partner violence,58,60,56.4,66,60,53.3,57
Violent crime involving injury,62,56,60.8,65,61,58.6,55.5
Serious violent crime,65,58,62.8,57,61,54.4,61
Serious domestic violence,77,61,69.7,64,58,60.9,65.3
Serious intimate partner violence,73,63,69.1,54,59,55.4,60.4
Property crime,39,38,39.2,39,37,33.5,36.1
Household burglary,57,54,53.3,58,52,54.8,57.3
Motor vehicle theft,84,77,85.6,83,83,78.6,75.5
Theft,32,31,32.4,32,30,26.4,28.6
