"",,,Ratea,,,,,Standard error,,
"",Total violent,Rape/sexual,,Aggravated,Simple,Total violent,Rape/ sexual,,Aggravated,Simple
Year,crime,assault,Robbery,assault,assault,crime,assault,Robbery,assault,assault
1993,79.8,4.3,8.3,16.5,50.7,2.1,0.4,0.5,0.8,1.6
1994,80.0,3.2,7.9,16.0,53.0,1.7,0.2,0.4,0.6,1.3
1995,70.7,2.6,6.3,13.5,48.3,1.5,0.2,0.3,0.6,1.2
1996,64.7,2.0,6.6,13.2,42.9,1.5,0.2,0.4,0.6,1.2
1997,61.1,2.5,5.4,13.2,40.0,1.5,0.2,0.3,0.6,1.2
1998,54.1,1.8,4.4,10.4,37.5,1.7,0.2,0.3,0.6,1.3
1999,47.2,2.6,4.5,8.7,31.3,1.4,0.2,0.3,0.5,1.1
2000,37.5,1.6,3.9,6.9,25.1,1.3,0.2,0.3,0.4,1.0
2001,32.6,2.1,2.9,6.0,21.6,1.1,0.2,0.3,0.4,0.9
2002,32.1,1.5,2.7,5.8,22.1,1.1,0.2,0.2,0.4,0.9
2003,32.1,1.4,3.0,5.7,22.1,1.1,0.2,0.3,0.4,0.9
2004,27.8,1.1,2.6,5.9,18.3,1.0,0.1,0.2,0.4,0.8
2005,28.4,0.8,3.1,5.2,19.2,1.1,0.1,0.3,0.4,0.9
2006b,34.1,1.9,3.8,7.1,21.4,1.2,0.2,0.3,0.5,0.9
2007,27.2,1.0,3.1,4.9,18.3,1.1,0.1,0.3,0.4,0.8
2008,25.3,1.4,2.7,3.8,17.4,1.7,0.3,0.4,0.5,1.4
2009,22.3,1.2,2.5,4.1,14.6,1.8,0.2,0.4,0.6,1.4
2010,19.3,1.0,2.2,3.4,12.7,1.6,0.2,0.4,0.5,1.2
2011,22.6,0.9,2.2,4.1,15.4,1.6,0.2,0.3,0.5,1.2
2012,26.1,1.3,2.8,3.8,18.2,1.5,0.2,0.3,0.4,1.2
